LogID,Timestamp,SourceIP,DeviceType,LoginAttempts,DataTransferred_MB,AccessHour
100000,2026-05-01 00:00:00,192.168.1.204,Gateway,2,2.74,0
100001,2026-05-01 00:01:00,10.0.0.91,IoT_Device,1,1.49,0
100002,2026-05-01 00:04:00,10.0.0.100,IoT_Device,10,2398.07,0
100003,2026-05-01 00:05:00,192.168.1.162,Workstation,2,4.58,0
100004,2026-05-01 00:15:00,10.0.0.161,Server,1,4.62,0
100005,2026-05-01 00:18:00,10.0.0.156,Workstation,1,2.3,0
100006,2026-05-01 00:27:00,192.168.1.3,Server,1,4.1,0
100007,2026-05-01 00:09:00,192.168.1.77,IoT_Device,2,2.03,0
100008,2026-05-01 00:21:00,192.168.1.86,Gateway,15,662.18,0
100009,2026-05-01 00:10:00,10.0.0.161,Gateway,2,1.27,0
100010,2026-05-01 00:18:00,10.0.0.201,Workstation,9,4334.55,0
100011,2026-05-01 00:33:00,192.168.1.124,Server,2,2.72,0
100012,2026-05-01 00:13:00,192.168.1.229,Workstation,2,0.18,0
100013,2026-05-01 00:23:00,192.168.1.207,Server,2,3.87,0
100014,2026-05-01 00:50:00,192.168.1.189,Gateway,2,4.95,0
100015,2026-05-01 00:47:00,10.0.0.30,IoT_Device,2,3.92,0
100016,2026-05-01 00:30:00,192.168.1.86,Server,2,2.85,0
100017,2026-05-01 00:57:00,192.168.1.197,Gateway,1,0.17,0
100018,2026-05-01 01:16:00,192.168.1.207,IoT_Device,2,3.27,1
100019,2026-05-01 00:19:00,10.0.0.72,IoT_Device,1,0.59,0
100020,2026-05-01 01:24:00,192.168.1.186,Workstation,2,0.93,1
100021,2026-05-01 01:19:00,10.0.0.222,Gateway,2,2.14,1
100022,2026-05-01 00:51:00,192.168.1.158,Workstation,1,3.67,0
100023,2026-05-01 00:37:00,192.168.1.158,Server,2,1.62,0
100024,2026-05-01 01:55:00,192.168.1.124,Server,1,0.47,1
100025,2026-05-01 00:58:00,192.168.1.227,IoT_Device,1,4.28,0
100026,2026-05-01 00:35:00,203.0.113.34,Gateway,15,763.93,0
100027,2026-05-01 00:37:00,192.168.1.161,Gateway,2,4.83,0
100028,2026-05-01 02:02:00,192.168.1.138,Workstation,2,1.75,2
100029,2026-05-01 01:39:00,10.0.0.8,Workstation,2,2.6,1
100030,2026-05-01 02:06:00,192.168.1.227,Gateway,2,3.95,2
100031,2026-05-01 02:01:00,192.168.1.218,IoT_Device,1,1.83,2
